,Munro Name,Time,Cloud Cover,Max Temperature (°C),Min Temperature (°C),Base Max Temperature (°C),Base Min Temperature (°C)
5,Càrn nan Gobhar (Mullardoch),night,light rain,10,9,16,14
6,Càrn nan Gobhar (Mullardoch),AM,rain shwrs,11,10,18,17
7,Càrn nan Gobhar (Mullardoch),PM,cloudy,11,11,19,18
8,Càrn nan Gobhar (Mullardoch),night,light rain,10,9,15,14
9,Càrn nan Gobhar (Mullardoch),AM,light rain,8,8,15,14
10,Càrn nan Gobhar (Mullardoch),PM,light rain,8,7,14,14
11,Càrn nan Gobhar (Mullardoch),night,some clouds,5,5,13,12
12,Càrn nan Gobhar (Mullardoch),AM,rain shwrs,6,5,14,13
13,Càrn nan Gobhar (Mullardoch),PM,light rain,7,6,13,13
14,Càrn nan Gobhar (Mullardoch),night,light rain,8,7,12,12
15,Càrn nan Gobhar (Mullardoch),AM,some clouds,11,9,18,14
16,Càrn nan Gobhar (Mullardoch),PM,cloudy,12,11,18,16
17,Càrn nan Gobhar (Mullardoch),night,light rain,11,10,14,14
0,Ciste Dhubh,AM,light rain,8,7,16,15
1,Ciste Dhubh,PM,rain shwrs,8,8,16,16
2,Ciste Dhubh,night,some clouds,8,7,12,11
3,Ciste Dhubh,AM,some clouds,11,10,19,16
4,Ciste Dhubh,PM,some clouds,11,11,20,18
5,Ciste Dhubh,night,light rain,10,9,15,14
6,Ciste Dhubh,AM,rain shwrs,11,10,19,17
7,Ciste Dhubh,PM,cloudy,11,11,20,18
8,Ciste Dhubh,night,light rain,10,9,15,15
9,Ciste Dhubh,AM,light rain,9,8,15,15
10,Ciste Dhubh,PM,light rain,8,8,15,15
11,Ciste Dhubh,night,some clouds,6,5,14,12
12,Ciste Dhubh,AM,rain shwrs,6,5,14,14
13,Ciste Dhubh,PM,light rain,7,7,13,13
14,Ciste Dhubh,night,light rain,8,7,12,12
15,Ciste Dhubh,AM,some clouds,11,9,18,15
16,Ciste Dhubh,PM,cloudy,11,11,18,15
17,Ciste Dhubh,night,light rain,11,10,15,14
0,Conival,AM,rain shwrs,7,7,15,14
1,Conival,PM,rain shwrs,8,8,16,15
2,Conival,night,rain shwrs,8,7,13,11
3,Conival,AM,some clouds,10,9,18,15
4,Conival,PM,clear,10,10,18,17
5,Conival,night,rain shwrs,9,8,14,14
6,Conival,AM,rain shwrs,10,9,18,16
7,Conival,PM,some clouds,11,10,18,17
8,Conival,night,light rain,10,7,15,14
9,Conival,AM,rain shwrs,7,7,14,14
10,Conival,PM,light rain,6,6,15,14
11,Conival,night,rain shwrs,5,5,12,11
12,Conival,AM,light rain,6,5,14,14
13,Conival,PM,light rain,7,6,13,12
14,Conival,night,light rain,7,7,13,12
15,Conival,AM,light rain,10,8,17,13
16,Conival,PM,some clouds,11,11,19,18
17,Conival,night,light rain,11,9,15,14
0,Fionn Bheinn,AM,rain shwrs,8,7,14,14
1,Fionn Bheinn,PM,light rain,8,8,15,15
2,Fionn Bheinn,night,rain shwrs,8,8,13,11
3,Fionn Bheinn,AM,some clouds,10,10,18,15
4,Fionn Bheinn,PM,some clouds,11,11,19,18
5,Fionn Bheinn,night,light rain,10,9,15,14
6,Fionn Bheinn,AM,rain shwrs,11,10,18,16
7,Fionn Bheinn,PM,cloudy,12,11,19,17
8,Fionn Bheinn,night,light rain,10,9,15,13
9,Fionn Bheinn,AM,light rain,8,8,13,13
10,Fionn Bheinn,PM,rain shwrs,7,6,14,13
11,Fionn Bheinn,night,light rain,6,5,12,11
12,Fionn Bheinn,AM,rain shwrs,6,6,13,13
13,Fionn Bheinn,PM,light rain,7,7,12,12
14,Fionn Bheinn,night,light rain,8,7,12,12
15,Fionn Bheinn,AM,some clouds,11,9,17,14
16,Fionn Bheinn,PM,cloudy,12,12,18,16
17,Fionn Bheinn,night,light rain,11,10,14,14
0,Gairich,AM,rain shwrs,8,7,16,14
1,Gairich,PM,rain shwrs,9,8,17,16
2,Gairich,night,some clouds,9,8,12,11
3,Gairich,AM,clear,11,10,19,16
4,Gairich,PM,some clouds,12,12,20,19
5,Gairich,night,rain shwrs,10,9,15,14
6,Gairich,AM,rain shwrs,11,10,19,17
7,Gairich,PM,light rain,12,12,20,17
8,Gairich,night,light rain,10,10,15,14
9,Gairich,AM,rain shwrs,9,9,15,15
10,Gairich,PM,rain shwrs,9,9,16,16
11,Gairich,night,some clouds,7,5,13,13
12,Gairich,AM,rain shwrs,7,6,15,14
13,Gairich,PM,light rain,7,7,13,13
14,Gairich,night,light rain,8,7,12,12
15,Gairich,AM,some clouds,11,10,17,15
16,Gairich,PM,light rain,11,11,17,14
17,Gairich,night,light rain,11,10,15,13
0,Gaor Bheinn,AM,rain shwrs,8,7,16,14
1,Gaor Bheinn,PM,rain shwrs,8,8,17,16
2,Gaor Bheinn,night,some clouds,9,7,13,11
3,Gaor Bheinn,AM,clear,10,10,19,16
4,Gaor Bheinn,PM,some clouds,11,11,20,19
5,Gaor Bheinn,night,rain shwrs,9,9,15,14
6,Gaor Bheinn,AM,rain shwrs,11,10,19,17
7,Gaor Bheinn,PM,light rain,11,11,20,17
8,Gaor Bheinn,night,light rain,10,9,15,14
9,Gaor Bheinn,AM,rain shwrs,9,9,15,15
10,Gaor Bheinn,PM,rain shwrs,9,8,16,16
11,Gaor Bheinn,night,some clouds,6,5,13,12
12,Gaor Bheinn,AM,some clouds,6,6,15,14
13,Gaor Bheinn,PM,light rain,7,7,14,13
14,Gaor Bheinn,night,light rain,8,7,13,12
15,Gaor Bheinn,AM,some clouds,11,9,17,15
16,Gaor Bheinn,PM,light rain,11,11,16,14
17,Gaor Bheinn,night,light rain,11,10,15,13
0,Gleouraich,AM,rain shwrs,7,7,12,11
1,Gleouraich,PM,rain shwrs,8,7,12,12
2,Gleouraich,night,some clouds,8,7,10,10
3,Gleouraich,AM,clear,10,10,15,13
4,Gleouraich,PM,some clouds,11,11,15,15
5,Gleouraich,night,rain shwrs,9,8,12,11
6,Gleouraich,AM,rain shwrs,10,9,15,13
7,Gleouraich,PM,cloudy,11,11,16,14
8,Gleouraich,night,light rain,10,9,12,12
9,Gleouraich,AM,rain shwrs,8,8,12,12
10,Gleouraich,PM,rain shwrs,8,7,12,12
11,Gleouraich,night,some clouds,6,5,10,9
12,Gleouraich,AM,rain shwrs,6,5,10,10
13,Gleouraich,PM,light rain,6,6,10,10
14,Gleouraich,night,light rain,7,7,10,9
15,Gleouraich,AM,some clouds,11,9,14,12
16,Gleouraich,PM,cloudy,11,11,14,13
17,Gleouraich,night,light rain,11,10,12,12
0,Ladhar Bheinn,AM,light rain,7,6,11,10
1,Ladhar Bheinn,PM,rain shwrs,7,7,12,11
2,Ladhar Bheinn,night,some clouds,8,7,10,10
3,Ladhar Bheinn,AM,some clouds,10,10,14,13
4,Ladhar Bheinn,PM,some clouds,10,10,14,13
5,Ladhar Bheinn,night,rain shwrs,9,8,11,11
6,Ladhar Bheinn,AM,light rain,10,10,14,13
7,Ladhar Bheinn,PM,rain shwrs,11,10,14,12
8,Ladhar Bheinn,night,light rain,10,9,12,11
9,Ladhar Bheinn,AM,light rain,8,8,11,11
10,Ladhar Bheinn,PM,rain shwrs,7,7,12,11
11,Ladhar Bheinn,night,some clouds,5,5,9,9
12,Ladhar Bheinn,AM,rain shwrs,6,5,10,10
13,Ladhar Bheinn,PM,light rain,7,6,10,10
14,Ladhar Bheinn,night,light rain,8,7,10,9
15,Ladhar Bheinn,AM,cloudy,11,9,14,12
16,Ladhar Bheinn,PM,light rain,11,11,13,12
17,Ladhar Bheinn,night,mod. rain,11,10,12,12
0,Liathac,AM,light rain,7,6,11,11
1,Liathac,PM,rain shwrs,7,7,12,11
2,Liathac,night,rain shwrs,8,7,10,9
3,Liathac,AM,some clouds,9,9,14,13
4,Liathac,PM,some clouds,10,10,15,14
5,Liathac,night,rain shwrs,9,8,12,11
6,Liathac,AM,light rain,10,9,14,13
7,Liathac,PM,some clouds,11,10,15,14
8,Liathac,night,light rain,9,8,12,11
9,Liathac,AM,light rain,7,7,10,10
10,Liathac,PM,light rain,6,5,11,10
11,Liathac,night,light rain,5,4,9,8
12,Liathac,AM,rain shwrs,6,5,10,10
13,Liathac,PM,light rain,6,6,10,10
14,Liathac,night,light rain,8,6,10,10
15,Liathac,AM,cloudy,11,9,14,12
16,Liathac,PM,cloudy,11,11,14,13
17,Liathac,night,light rain,11,9,13,12
0,Mam Sodhail,AM,rain shwrs,6,5,12,11
1,Mam Sodhail,PM,rain shwrs,6,6,12,12
2,Mam Sodhail,night,some clouds,7,6,10,10
3,Mam Sodhail,AM,some clouds,9,9,15,13
4,Mam Sodhail,PM,some clouds,10,9,15,15
5,Mam Sodhail,night,light rain,9,7,13,12
6,Mam Sodhail,AM,rain shwrs,9,8,15,13
7,Mam Sodhail,PM,cloudy,10,10,16,15
8,Mam Sodhail,night,light rain,9,8,13,12
9,Mam Sodhail,AM,light rain,7,7,12,12
10,Mam Sodhail,PM,light rain,7,6,12,11
11,Mam Sodhail,night,some clouds,4,3,10,9
12,Mam Sodhail,AM,rain shwrs,4,4,10,10
13,Mam Sodhail,PM,light rain,5,5,10,10
14,Mam Sodhail,night,light rain,7,6,10,10
15,Mam Sodhail,AM,some clouds,9,8,15,12
16,Mam Sodhail,PM,cloudy,11,10,15,14
17,Mam Sodhail,night,light rain,11,9,13,12
0,Maoile Lunndaidh,AM,rain shwrs,7,7,14,14
1,Maoile Lunndaidh,PM,light rain,8,8,15,15
2,Maoile Lunndaidh,night,rain shwrs,8,7,13,11
3,Maoile Lunndaidh,AM,some clouds,10,10,18,15
4,Maoile Lunndaidh,PM,some clouds,11,11,19,18
5,Maoile Lunndaidh,night,light rain,10,8,15,14
6,Maoile Lunndaidh,AM,rain shwrs,10,10,18,16
7,Maoile Lunndaidh,PM,cloudy,11,11,19,17
8,Maoile Lunndaidh,night,light rain,10,9,15,14
9,Maoile Lunndaidh,AM,light rain,8,8,14,14
10,Maoile Lunndaidh,PM,rain shwrs,7,6,14,13
11,Maoile Lunndaidh,night,light rain,5,5,12,11
12,Maoile Lunndaidh,AM,rain shwrs,6,5,13,13
13,Maoile Lunndaidh,PM,light rain,7,6,13,12
14,Maoile Lunndaidh,night,light rain,8,7,12,11
15,Maoile Lunndaidh,AM,some clouds,11,9,17,14
16,Maoile Lunndaidh,PM,cloudy,11,11,18,16
17,Maoile Lunndaidh,night,light rain,11,10,14,14
0,Maol Cheann-dearg,AM,light rain,8,7,15,15
1,Maol Cheann-dearg,PM,rain shwrs,8,8,16,15
2,Maol Cheann-dearg,night,rain shwrs,8,7,13,11
3,Maol Cheann-dearg,AM,some clouds,10,10,18,16
4,Maol Cheann-dearg,PM,some clouds,11,11,19,18
5,Maol Cheann-dearg,night,rain shwrs,10,9,15,14
6,Maol Cheann-dearg,AM,light rain,11,10,18,17
7,Maol Cheann-dearg,PM,some clouds,12,11,19,17
8,Maol Cheann-dearg,night,light rain,10,9,15,14
9,Maol Cheann-dearg,AM,light rain,8,8,14,13
10,Maol Cheann-dearg,PM,light rain,7,7,16,15
11,Maol Cheann-dearg,night,light rain,6,5,13,12
12,Maol Cheann-dearg,AM,rain shwrs,7,6,14,14
13,Maol Cheann-dearg,PM,light rain,7,7,13,13
14,Maol Cheann-dearg,night,light rain,8,7,12,11
15,Maol Cheann-dearg,AM,cloudy,11,10,18,14
16,Maol Cheann-dearg,PM,light rain,11,11,17,14
17,Maol Cheann-dearg,night,light rain,11,10,15,14
0,Meall a' Chrasgaidh,AM,light rain,8,7,14,14
1,Meall a' Chrasgaidh,PM,rain shwrs,8,8,15,15
2,Meall a' Chrasgaidh,night,rain shwrs,8,8,13,11
3,Meall a' Chrasgaidh,AM,clear,10,9,17,15
4,Meall a' Chrasgaidh,PM,some clouds,11,11,18,17
5,Meall a' Chrasgaidh,night,cloudy,10,9,15,14
6,Meall a' Chrasgaidh,AM,light rain,11,10,18,16
7,Meall a' Chrasgaidh,PM,some clouds,11,11,18,17
8,Meall a' Chrasgaidh,night,light rain,10,8,14,13
9,Meall a' Chrasgaidh,AM,light rain,8,7,13,13
10,Meall a' Chrasgaidh,PM,rain shwrs,7,6,13,13
11,Meall a' Chrasgaidh,night,rain shwrs,6,5,12,11
12,Meall a' Chrasgaidh,AM,rain shwrs,6,6,13,13
13,Meall a' Chrasgaidh,PM,light rain,7,7,12,12
14,Meall a' Chrasgaidh,night,light rain,8,7,12,11
15,Meall a' Chrasgaidh,AM,some clouds,11,9,17,13
16,Meall a' Chrasgaidh,PM,cloudy,12,12,18,17
17,Meall a' Chrasgaidh,night,light rain,11,10,14,14
0,Meall na Teanga,AM,rain shwrs,9,8,16,14
1,Meall na Teanga,PM,rain shwrs,9,9,16,16
2,Meall na Teanga,night,some clouds,8,8,13,11
3,Meall na Teanga,AM,clear,11,10,19,16
4,Meall na Teanga,PM,some clouds,12,12,20,19
5,Meall na Teanga,night,some clouds,10,9,14,12
6,Meall na Teanga,AM,rain shwrs,12,10,19,17
7,Meall na Teanga,PM,cloudy,12,12,20,19
8,Meall na Teanga,night,light rain,10,10,14,14
9,Meall na Teanga,AM,light rain,10,9,15,14
10,Meall na Teanga,PM,light rain,10,9,16,15
11,Meall na Teanga,night,rain shwrs,7,5,13,11
12,Meall na Teanga,AM,rain shwrs,7,6,14,14
13,Meall na Teanga,PM,cloudy,7,7,14,13
14,Meall na Teanga,night,cloudy,8,7,12,12
15,Meall na Teanga,AM,some clouds,12,10,17,15
16,Meall na Teanga,PM,cloudy,12,11,16,14
17,Meall na Teanga,night,light rain,11,11,14,13
0,Mòruisg,AM,light rain,8,8,14,14
1,Mòruisg,PM,light rain,8,8,15,15
2,Mòruisg,night,rain shwrs,8,7,13,11
3,Mòruisg,AM,some clouds,10,10,18,15
4,Mòruisg,PM,some clouds,12,11,19,18
5,Mòruisg,night,light rain,10,9,15,14
6,Mòruisg,AM,rain shwrs,11,10,18,16
7,Mòruisg,PM,cloudy,12,11,18,16
8,Mòruisg,night,light rain,10,9,15,13
9,Mòruisg,AM,light rain,8,8,13,13
10,Mòruisg,PM,light rain,8,7,14,13
11,Mòruisg,night,rain shwrs,6,5,12,11
12,Mòruisg,AM,rain shwrs,7,6,13,13
13,Mòruisg,PM,light rain,7,7,13,12
14,Mòruisg,night,light rain,8,7,12,11
15,Mòruisg,AM,some clouds,11,9,17,14
16,Mòruisg,PM,cloudy,12,12,18,15
17,Mòruisg,night,light rain,11,10,14,14
0,Sàileag,AM,light rain,7,7,16,14
1,Sàileag,PM,rain shwrs,8,8,16,16
2,Sàileag,night,some clouds,8,7,12,11
3,Sàileag,AM,some clouds,10,10,19,16
4,Sàileag,PM,some clouds,11,11,19,18
5,Sàileag,night,light rain,9,9,15,14
6,Sàileag,AM,rain shwrs,11,10,19,17
7,Sàileag,PM,cloudy,11,11,20,17
8,Sàileag,night,light rain,10,9,15,15
9,Sàileag,AM,light rain,8,8,15,15
10,Sàileag,PM,light rain,8,7,15,15
11,Sàileag,night,some clouds,6,5,14,12
12,Sàileag,AM,rain shwrs,6,5,14,14
13,Sàileag,PM,light rain,7,6,13,13
14,Sàileag,night,light rain,8,7,12,12
15,Sàileag,AM,some clouds,11,9,18,15
16,Sàileag,PM,cloudy,11,11,18,15
17,Sàileag,night,light rain,11,10,15,14
0,Seana Bhràigh,AM,rain shwrs,8,7,11,11
1,Seana Bhràigh,PM,rain shwrs,8,8,12,12
2,Seana Bhràigh,night,some clouds,8,8,10,9
3,Seana Bhràigh,AM,some clouds,10,9,14,12
4,Seana Bhràigh,PM,clear,11,11,15,14
5,Seana Bhràigh,night,cloudy,10,9,12,12
6,Seana Bhràigh,AM,rain shwrs,11,10,15,13
7,Seana Bhràigh,PM,some clouds,11,11,15,14
8,Seana Bhràigh,night,light rain,10,8,12,11
9,Seana Bhràigh,AM,light rain,8,8,11,10
10,Seana Bhràigh,PM,rain shwrs,7,6,11,10
11,Seana Bhràigh,night,rain shwrs,6,5,9,8
12,Seana Bhràigh,AM,rain shwrs,6,6,10,9
13,Seana Bhràigh,PM,light rain,7,7,10,9
14,Seana Bhràigh,night,light rain,8,7,10,10
15,Seana Bhràigh,AM,some clouds,11,9,14,11
16,Seana Bhràigh,PM,cloudy,12,12,15,15
17,Seana Bhràigh,night,light rain,11,10,13,12
0,Sgorr Ruadh,AM,light rain,8,7,15,15
1,Sgorr Ruadh,PM,rain shwrs,8,8,16,15
2,Sgorr Ruadh,night,rain shwrs,8,7,13,11
3,Sgorr Ruadh,AM,some clouds,10,10,18,16
4,Sgorr Ruadh,PM,some clouds,11,11,19,18
5,Sgorr Ruadh,night,rain shwrs,10,9,15,14
6,Sgorr Ruadh,AM,light rain,11,10,18,17
7,Sgorr Ruadh,PM,some clouds,11,11,19,17
8,Sgorr Ruadh,night,light rain,10,9,15,14
9,Sgorr Ruadh,AM,light rain,8,8,14,14
10,Sgorr Ruadh,PM,light rain,7,6,15,15
11,Sgorr Ruadh,night,light rain,6,5,13,12
12,Sgorr Ruadh,AM,rain shwrs,6,6,14,14
13,Sgorr Ruadh,PM,light rain,7,7,13,13
14,Sgorr Ruadh,night,light rain,8,7,12,11
15,Sgorr Ruadh,AM,cloudy,11,9,18,14
16,Sgorr Ruadh,PM,cloudy,11,11,17,15
17,Sgorr Ruadh,night,light rain,11,10,15,14
0,Sgurr a' Bhealaich Dheirg,AM,light rain,7,7,12,11
1,Sgurr a' Bhealaich Dheirg,PM,rain shwrs,8,7,12,12
2,Sgurr a' Bhealaich Dheirg,night,some clouds,8,7,10,10
3,Sgurr a' Bhealaich Dheirg,AM,some clouds,10,10,15,13
4,Sgurr a' Bhealaich Dheirg,PM,some clouds,11,10,15,15
5,Sgurr a' Bhealaich Dheirg,night,light rain,9,8,12,11
6,Sgurr a' Bhealaich Dheirg,AM,rain shwrs,10,9,15,13
7,Sgurr a' Bhealaich Dheirg,PM,cloudy,11,11,16,14
8,Sgurr a' Bhealaich Dheirg,night,light rain,10,9,12,12
9,Sgurr a' Bhealaich Dheirg,AM,light rain,8,8,12,12
10,Sgurr a' Bhealaich Dheirg,PM,light rain,8,7,12,11
11,Sgurr a' Bhealaich Dheirg,night,some clouds,6,4,10,9
12,Sgurr a' Bhealaich Dheirg,AM,rain shwrs,6,5,10,10
13,Sgurr a' Bhealaich Dheirg,PM,light rain,6,6,10,10
14,Sgurr a' Bhealaich Dheirg,night,light rain,7,6,10,9
15,Sgurr a' Bhealaich Dheirg,AM,some clouds,10,9,14,12
16,Sgurr a' Bhealaich Dheirg,PM,cloudy,11,11,14,13
17,Sgurr a' Bhealaich Dheirg,night,light rain,11,10,12,12
0,Sgùrr a' Choire Ghlais,AM,rain shwrs,7,7,12,11
1,Sgùrr a' Choire Ghlais,PM,light rain,7,7,12,12
2,Sgùrr a' Choire Ghlais,night,some clouds,8,7,10,9
3,Sgùrr a' Choire Ghlais,AM,some clouds,9,9,15,13
4,Sgùrr a' Choire Ghlais,PM,some clouds,11,10,16,15
5,Sgùrr a' Choire Ghlais,night,cloudy,9,8,13,12
6,Sgùrr a' Choire Ghlais,AM,rain shwrs,10,9,15,14
7,Sgùrr a' Choire Ghlais,PM,cloudy,11,11,16,15
8,Sgùrr a' Choire Ghlais,night,light rain,10,8,13,12
9,Sgùrr a' Choire Ghlais,AM,light rain,8,7,12,11
10,Sgùrr a' Choire Ghlais,PM,rain shwrs,7,6,11,11
11,Sgùrr a' Choire Ghlais,night,cloudy,5,4,9,8
12,Sgùrr a' Choire Ghlais,AM,rain shwrs,5,5,10,10
13,Sgùrr a' Choire Ghlais,PM,cloudy,6,6,10,10
14,Sgùrr a' Choire Ghlais,night,cloudy,8,6,10,10
15,Sgùrr a' Choire Ghlais,AM,some clouds,10,9,15,12
16,Sgùrr a' Choire Ghlais,PM,cloudy,11,11,15,14
17,Sgùrr a' Choire Ghlais,night,light rain,11,10,13,12
0,Sgurr a' Ghreadaidh,AM,rain shwrs,7,7,15,14
1,Sgurr a' Ghreadaidh,PM,rain shwrs,8,8,15,14
2,Sgurr a' Ghreadaidh,night,rain shwrs,9,8,13,13
3,Sgurr a' Ghreadaidh,AM,some clouds,10,9,15,14
4,Sgurr a' Ghreadaidh,PM,light rain,10,9,14,14
5,Sgurr a' Ghreadaidh,night,rain shwrs,9,9,14,14
6,Sgurr a' Ghreadaidh,AM,rain shwrs,10,10,14,14
7,Sgurr a' Ghreadaidh,PM,light rain,11,10,14,14
8,Sgurr a' Ghreadaidh,night,light rain,10,8,14,13
9,Sgurr a' Ghreadaidh,AM,rain shwrs,8,7,15,14
10,Sgurr a' Ghreadaidh,PM,rain shwrs,7,7,15,15
11,Sgurr a' Ghreadaidh,night,light rain,6,5,14,13
12,Sgurr a' Ghreadaidh,AM,cloudy,7,6,14,14
13,Sgurr a' Ghreadaidh,PM,rain shwrs,8,7,14,13
14,Sgurr a' Ghreadaidh,night,rain shwrs,9,8,13,12
15,Sgurr a' Ghreadaidh,AM,light rain,11,9,14,13
16,Sgurr a' Ghreadaidh,PM,light rain,11,11,13,13
17,Sgurr a' Ghreadaidh,night,light rain,11,10,14,14
0,Sgurr a' Mhadaidh,AM,rain shwrs,8,7,15,14
1,Sgurr a' Mhadaidh,PM,rain shwrs,9,8,15,14
2,Sgurr a' Mhadaidh,night,rain shwrs,9,9,13,13
3,Sgurr a' Mhadaidh,AM,some clouds,10,10,15,14
4,Sgurr a' Mhadaidh,PM,light rain,10,10,15,14
5,Sgurr a' Mhadaidh,night,rain shwrs,10,9,14,14
6,Sgurr a' Mhadaidh,AM,rain shwrs,11,10,14,14
7,Sgurr a' Mhadaidh,PM,light rain,11,10,14,14
8,Sgurr a' Mhadaidh,night,light rain,10,9,14,13
9,Sgurr a' Mhadaidh,AM,rain shwrs,8,8,15,14
10,Sgurr a' Mhadaidh,PM,rain shwrs,8,7,15,15
11,Sgurr a' Mhadaidh,night,light rain,6,6,14,13
12,Sgurr a' Mhadaidh,AM,cloudy,7,6,14,14
13,Sgurr a' Mhadaidh,PM,rain shwrs,8,7,14,13
14,Sgurr a' Mhadaidh,night,rain shwrs,9,8,13,12
15,Sgurr a' Mhadaidh,AM,light rain,11,10,14,13
16,Sgurr a' Mhadaidh,PM,light rain,11,11,13,13
17,Sgurr a' Mhadaidh,night,light rain,11,10,14,14
0,Sgurr a' Mhaoraich,AM,rain shwrs,7,7,12,11
1,Sgurr a' Mhaoraich,PM,rain shwrs,8,7,12,12
2,Sgurr a' Mhaoraich,night,some clouds,8,7,10,10
3,Sgurr a' Mhaoraich,AM,clear,10,10,15,13
4,Sgurr a' Mhaoraich,PM,some clouds,11,11,15,14
5,Sgurr a' Mhaoraich,night,rain shwrs,9,8,12,11
6,Sgurr a' Mhaoraich,AM,rain shwrs,10,9,15,13
7,Sgurr a' Mhaoraich,PM,cloudy,11,11,15,14
8,Sgurr a' Mhaoraich,night,light rain,10,9,12,12
9,Sgurr a' Mhaoraich,AM,rain shwrs,8,8,12,11
10,Sgurr a' Mhaoraich,PM,rain shwrs,8,7,12,11
11,Sgurr a' Mhaoraich,night,some clouds,6,5,9,9
12,Sgurr a' Mhaoraich,AM,rain shwrs,6,5,10,10
13,Sgurr a' Mhaoraich,PM,light rain,6,6,10,10
14,Sgurr a' Mhaoraich,night,light rain,7,7,10,9
15,Sgurr a' Mhaoraich,AM,some clouds,11,9,14,12
16,Sgurr a' Mhaoraich,PM,light rain,11,11,14,13
17,Sgurr a' Mhaoraich,night,light rain,11,10,12,12
0,Sgurr Alasdair,AM,rain shwrs,7,7,15,14
1,Sgurr Alasdair,PM,clear,8,8,15,14
2,Sgurr Alasdair,night,some clouds,9,8,13,13
3,Sgurr Alasdair,AM,some clouds,9,9,15,14
4,Sgurr Alasdair,PM,cloudy,10,9,14,14
5,Sgurr Alasdair,night,rain shwrs,9,8,14,14
6,Sgurr Alasdair,AM,some clouds,10,10,14,14
7,Sgurr Alasdair,PM,light rain,11,10,14,14
8,Sgurr Alasdair,night,light rain,10,8,14,13
9,Sgurr Alasdair,AM,rain shwrs,8,7,14,14
10,Sgurr Alasdair,PM,rain shwrs,7,7,15,15
11,Sgurr Alasdair,night,light rain,6,5,14,13
12,Sgurr Alasdair,AM,cloudy,7,6,14,14
13,Sgurr Alasdair,PM,rain shwrs,8,7,14,13
14,Sgurr Alasdair,night,rain shwrs,8,8,13,12
15,Sgurr Alasdair,AM,light rain,11,9,14,13
16,Sgurr Alasdair,PM,light rain,11,11,13,13
17,Sgurr Alasdair,night,light rain,11,10,14,14
0,Sgurr Choinnich,AM,light rain,7,7,15,15
1,Sgurr Choinnich,PM,light rain,8,8,16,15
2,Sgurr Choinnich,night,rain shwrs,8,7,13,11
3,Sgurr Choinnich,AM,some clouds,10,10,19,16
4,Sgurr Choinnich,PM,some clouds,11,11,20,19
5,Sgurr Choinnich,night,light rain,10,8,16,14
6,Sgurr Choinnich,AM,rain shwrs,10,10,19,17
7,Sgurr Choinnich,PM,cloudy,11,11,20,17
8,Sgurr Choinnich,night,light rain,10,8,15,14
9,Sgurr Choinnich,AM,light rain,8,8,14,14
10,Sgurr Choinnich,PM,light rain,7,6,15,15
11,Sgurr Choinnich,night,rain shwrs,5,5,13,12
12,Sgurr Choinnich,AM,rain shwrs,6,5,14,14
13,Sgurr Choinnich,PM,light rain,7,6,13,13
14,Sgurr Choinnich,night,light rain,8,7,13,12
15,Sgurr Choinnich,AM,some clouds,11,9,18,14
16,Sgurr Choinnich,PM,cloudy,11,11,18,16
17,Sgurr Choinnich,night,light rain,11,10,15,14
0,Sgurr Dearg,AM,rain shwrs,7,7,15,14
1,Sgurr Dearg,PM,rain shwrs,8,8,15,14
2,Sgurr Dearg,night,rain shwrs,9,8,13,13
3,Sgurr Dearg,AM,some clouds,10,9,15,14
4,Sgurr Dearg,PM,light rain,10,9,14,14
5,Sgurr Dearg,night,rain shwrs,9,8,14,14
6,Sgurr Dearg,AM,rain shwrs,10,10,14,14
7,Sgurr Dearg,PM,light rain,11,10,14,14
8,Sgurr Dearg,night,light rain,10,8,14,13
9,Sgurr Dearg,AM,rain shwrs,8,7,15,14
10,Sgurr Dearg,PM,rain shwrs,7,7,15,15
11,Sgurr Dearg,night,light rain,6,5,14,13
12,Sgurr Dearg,AM,cloudy,7,6,14,14
13,Sgurr Dearg,PM,rain shwrs,8,7,14,13
14,Sgurr Dearg,night,rain shwrs,8,8,13,12
15,Sgurr Dearg,AM,light rain,11,9,14,13
16,Sgurr Dearg,PM,light rain,11,11,13,13
17,Sgurr Dearg,night,light rain,11,10,14,14
0,Sgùrr Fhuaran,AM,light rain,7,6,11,10
1,Sgùrr Fhuaran,PM,rain shwrs,7,7,12,11
2,Sgùrr Fhuaran,night,some clouds,8,7,10,10
3,Sgùrr Fhuaran,AM,some clouds,10,9,15,13
4,Sgùrr Fhuaran,PM,some clouds,10,10,15,14
5,Sgùrr Fhuaran,night,light rain,9,8,12,11
6,Sgùrr Fhuaran,AM,rain shwrs,10,9,15,13
7,Sgùrr Fhuaran,PM,cloudy,11,10,15,14
8,Sgùrr Fhuaran,night,light rain,10,8,12,12
9,Sgùrr Fhuaran,AM,light rain,8,8,11,11
10,Sgùrr Fhuaran,PM,light rain,7,7,12,11
11,Sgùrr Fhuaran,night,some clouds,5,4,10,9
12,Sgùrr Fhuaran,AM,rain shwrs,5,5,10,10
13,Sgùrr Fhuaran,PM,light rain,6,6,10,10
14,Sgùrr Fhuaran,night,light rain,7,6,10,9
15,Sgùrr Fhuaran,AM,some clouds,10,9,14,12
16,Sgùrr Fhuaran,PM,light rain,11,11,14,13
17,Sgùrr Fhuaran,night,light rain,11,10,12,12
0,Sgurr Mhic Choinnich,AM,rain shwrs,7,7,15,14
1,Sgurr Mhic Choinnich,PM,clear,8,8,15,14
2,Sgurr Mhic Choinnich,night,some clouds,9,8,13,13
